Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 93   | ADI 4167  | JOAQUIM BARBOSA     | N | 0.000009
 94   | ADI 2359  | EROS GRAU           | N | 0.000009
 95   | ADI 3934  | RICARDO LEWANDOWSKI | N | 0.000009
 96   | RE 268488 | MOREIRA ALVES       | N | 0.000008
 97   | RCL 1987  | MAURÍCIO CORRÊA     | N | 0.000008
 98   | RE 297359 | MOREIRA ALVES       | N | 0.000008
 99   | RCL 1575  | CELSO DE MELLO      | N | 0.000008
 100  | ADI 700   | MAURÍCIO CORRÊA     | N | 0.000008


Iteração 3
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 RE 290079 | ILMAR GALVÃO       | N
 IF 2915   | MARCO AURÉLIO      | N
 RCL 997   | MARCO AURÉLIO      | N
 RE 376846 | CARLOS VELLOSO     | N
 RE 346084 | ILMAR GALVÃO       | N
 ADI 2596  | SEPÚLVEDA PERTENCE | N
 ADI 1914  | CEZAR PELUSO       | N
 ADI 1957  | GILMAR MENDES      | N
 RE 609381 | TEORI ZAVASCKI     | N
 HC 82959  | MARCO AURÉLIO      | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 703   | ELLEN GRACIE       | N | 0.338078
 2    | ADI 678   | CARLOS VELLOSO     | N | 0.338078
 3    | ADI 743   | ELLEN GRACIE       | N | 0.208944
 4    | RE 258980 | ILMAR GALVÃO       | N | 0.000676
 5    | RE 298694 | SEPÚLVEDA PERTENCE | N | 0.000337
 6    | ADC 4     | SYDNEY SANCHES     | N | 0.000314
 7    | RE 318644 | ILMAR GALVÃO       | S | 0.000224
 8    | RE 347825 | ELLEN GRACIE       | N | 0.000219
 9    | RE 255858 | ILMAR GALVÃO       | N | 0.000210
 10   | RE 313382 | MAURÍCIO CORRÊA    | N | 0.000208
 11   | ADI 2158  | DIAS TOFFOLI       | N | 0.000185
 12   | RE 291188 | SEPÚLVEDA PERTENCE | N | 0.000147
 13   | RCL 846   | MARCO AURÉLIO      | N | 0.000093
 14   | RE 298616 | GILMAR MENDES      | N | 0.000092
 15   | RE 206048 | MARCO AURÉLIO      | N | 0.000067
 16   | RE 272872 | ILMAR GALVÃO       | N | 0.000063
 17   | RE 343446 | CARLOS VELLOSO     | N | 0.000061
 18   | RE 201465 | MARCO AURÉLIO      | N | 0.000059
 19   | ADI 2031  | ELLEN GRACIE       | N | 0.000058
 20   | HC 81288  | MAURÍCIO CORRÊA    | N | 0.000056
 21   | RE 351717 | CARLOS VELLOSO     | N | 0.000053
 22   | RE 204193 | CARLOS VELLOSO     | N | 0.000053
 23   | RE 298175 | MOREIRA ALVES      | S | 0.000050
 24   | IF 3601   | MARCO AURÉLIO      | N | 0.000046
 25   | RCL 1015  | NÉRI DA SILVEIRA   | N | 0.000042
 26   | RCL 1122  | NÉRI DA SILVEIRA   | N | 0.000041
 27   | RE 204735 | CARLOS VELLOSO     | N | 0.000041
 28   | ADI 1662  | MAURÍCIO CORRÊA    | N | 0.000039
 29   | HC 81409  | NELSON JOBIM       | S | 0.000036
 30   | HC 81380  | MAURÍCIO CORRÊA    | N | 0.000029
 31   | RE 396266 | CARLOS VELLOSO     | N | 0.000028
 32   | ADI 2115  | ILMAR GALVÃO       | N | 0.000027
 33   | ADI 1623  | JOAQUIM BARBOSA    | N | 0.000026
 34   | RE 453740 | GILMAR MENDES      | N | 0.000025
 35   | RCL 1067  | ELLEN GRACIE       | N | 0.000025
 36   | ADI 1922  | JOAQUIM BARBOSA    | N | 0.000024
 37   | ADI 1879  | JOAQUIM BARBOSA    | N | 0.000023
 38   | ADI 1472  | ILMAR GALVÃO       | N | 0.000023
 39   | RE 287297 | ILMAR GALVÃO       | N | 0.000022
 40   | ADI 2061  | ILMAR GALVÃO       | N | 0.000021
 41   | RCL 1014  | MOREIRA ALVES      | N | 0.000021
 42   | ACO 471   | SYDNEY SANCHES     | N | 0.000019
 43   | RE 312141 | MOREIRA ALVES      | S | 0.000018
 44   | RE 311292 | MOREIRA ALVES      | N | 0.000018
 45   | RE 312934 | MOREIRA ALVES      | S | 0.000018
 46   | ADI 2107  | ILMAR GALVÃO       | N | 0.000018
 47   | RE 305186 | ILMAR GALVÃO       | N | 0.000018
 48   | ADI 2050  | MAURÍCIO CORRÊA    | N | 0.000018
 49   | RE 237718 | SEPÚLVEDA PERTENCE | N | 0.000017
 50   | ADI 1976  | JOAQUIM BARBOSA    | N | 0.000016
 51   | ADI 1918  | MAURÍCIO CORRÊA    | N | 0.000016
 52   | ADI 2448  | SYDNEY SANCHES     | N | 0.000016
 53   | ADI 1901  | ILMAR GALVÃO       | N | 0.000016
 54   | ADI 2064  | MAURÍCIO CORRÊA    | N | 0.000016
 55   | ADI 1991  | EROS GRAU          | N | 0.000016
 56   | ADI 668   | DIAS TOFFOLI       | N | 0.000015
 57   | RMS 24651 | MARCO AURÉLIO      | N | 0.000015
 58   | HC 81611  | SEPÚLVEDA PERTENCE | N | 0.000014
 59   | RE 194382 | MAURÍCIO CORRÊA    | N | 0.000014
 60   | ADI 1628  | EROS GRAU          | N | 0.000014
 61   | RE 207260 | CARLOS VELLOSO     | S | 0.000013
 62   | ADI 1592  | MOREIRA ALVES      | N | 0.000013
 63   | RCL 1987  | MAURÍCIO CORRÊA    | N | 0.000012
 64   | ADI 2098  | ILMAR GALVÃO       | N | 0.000012
 65   | ADI 1571  | GILMAR MENDES      | N | 0.000012
 66   | RCL 759   | ELLEN GRACIE       | N | 0.000012
 67   | ADI 2103  | ELLEN GRACIE       | N | 0.000011
 68   | ADI 2104  | EROS GRAU          | N | 0.000011
 69   | RE 401436 | CARLOS VELLOSO     | N | 0.000011
 70   | ADI 872   | ELLEN GRACIE       | N | 0.000011
 71   | ADI 1399  | MAURÍCIO CORRÊA    | N | 0.000011
 72   | RE 189170 | MARCO AURÉLIO      | N | 0.000011
 73   | RCL 777   | MOREIRA ALVES      | N | 0.000010
 74   | HC 80659  | MAURÍCIO CORRÊA    | N | 0.000010
 75   | RCL 1923  | MAURÍCIO CORRÊA    | N | 0.000010
 76   | RE 361518 | ELLEN GRACIE       | N | 0.000010
 77   | RE 186623 | CARLOS VELLOSO     | N | 0.000010
 78   | ADI 1851  | ILMAR GALVÃO       | N | 0.000009
 79   | ADI 1704  | CARLOS VELLOSO     | N | 0.000009
 80   | RE 268488 | MOREIRA ALVES      | N | 0.000009
 81   | RE 291487 | MOREIRA ALVES      | N | 0.000009
 82   | RE 244293 | ILMAR GALVÃO       | N | 0.000009
 83   | ADI 2101  | MAURÍCIO CORRÊA    | N | 0.000009
 84   | ADI 1045  | MARCO AURÉLIO      | N | 0.000009
 85   | ADI 1143  | ILMAR GALVÃO       | N | 0.000008
 86   | RCL 1091  | MAURÍCIO CORRÊA    | N | 0.000008
 87   | HC 80472  | ELLEN GRACIE       | N | 0.000008
 88   | RE 297359 | MOREIRA ALVES      | N | 0.000008
 89   | ADI 2417  | MAURÍCIO CORRÊA    | N | 0.000008
 90   | INQ 1710  | SYDNEY SANCHES     | N | 0.000008
 91   | HC 80881  | MAURÍCIO CORRÊA    | N | 0.000008
 92   | ADI 2093  | CARLOS VELLOSO     | N | 0.000008
 93   | ADI 700   | MAURÍCIO CORRÊA    | N | 0.000008
 94   | ADI 1557  | ELLEN GRACIE       | N | 0.000008
 95   | ADI 1679  | GILMAR MENDES      | N | 0.000008
 96   | HC 80631  | MOREIRA ALVES      | N | 0.000008
 97   | RE 253394 | ILMAR GALVÃO       | N | 0.000008
 98   | HC 80984  | MOREIRA ALVES      | N | 0.000008
 99   | RCL 1575  | CELSO DE MELLO     | N | 0.000007
 100  | RE 288304 | ILMAR GALVÃO       | N | 0.000007


Iteração 4
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 RE 258980 | ILMAR GALVÃO    | N
 RE 272872 | ILMAR GALVÃO    | N
 IF 3601   | MARCO AURÉLIO   | N
 ADI 1976  | JOAQUIM BARBOSA | N
 ADI 2448  | SYDNEY SANCHES  | N
 RCL 1987  | MAURÍCIO CORRÊA | N
 RE 401436 | CARLOS VELLOSO  | N
 RE 186623 | CARLOS VELLOSO  | N
 RE 244293 | ILMAR GALVÃO    | N
 INQ 1710  | SYDNEY SANCHES  | N
 HC 80984  | MOREIRA ALVES   | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 678   | CARLOS VELLOSO      | N | 0.338046
 2    | ADI 703   | ELLEN GRACIE        | N | 0.338046
 3    | ADI 743   | ELLEN GRACIE        | N | 0.208924
 4    | RE 298695 | SEPÚLVEDA PERTENCE  | N | 0.000365
 5    | RE 298694 | SEPÚLVEDA PERTENCE  | N | 0.000350
 6    | ADC 4     | SYDNEY SANCHES      | N | 0.000284
 7    | RE 255858 | ILMAR GALVÃO        | N | 0.000218
 8    | RE 313382 | MAURÍCIO CORRÊA     | N | 0.000217
 9    | RE 347825 | ELLEN GRACIE        | N | 0.000202
 10   | RE 318644 | ILMAR GALVÃO        | S | 0.000198
 11   | RE 290079 | ILMAR GALVÃO        | N | 0.000196
 12   | RE 291188 | SEPÚLVEDA PERTENCE  | N | 0.000195
 13   | ADI 2158  | DIAS TOFFOLI        | N | 0.000174
 14   | RE 298616 | GILMAR MENDES       | N | 0.000096
 15   | RCL 846   | MARCO AURÉLIO       | N | 0.000092
 16   | RE 343446 | CARLOS VELLOSO      | N | 0.000082
 17   | RE 206048 | MARCO AURÉLIO       | N | 0.000070
 18   | ADI 2031  | ELLEN GRACIE        | N | 0.000068
 19   | RE 201465 | MARCO AURÉLIO       | N | 0.000060
 20   | HC 81288  | MAURÍCIO CORRÊA     | N | 0.000055
 21   | RE 351717 | CARLOS VELLOSO      | N | 0.000053
 22   | RE 298175 | MOREIRA ALVES       | S | 0.000049
 23   | RCL 1015  | NÉRI DA SILVEIRA    | N | 0.000042
 24   | RCL 1122  | NÉRI DA SILVEIRA    | N | 0.000041
 25   | RE 202700 | MAURÍCIO CORRÊA     | N | 0.000039
 26   | RE 204735 | CARLOS VELLOSO      | N | 0.000039
 27   | RE 376846 | CARLOS VELLOSO      | N | 0.000039
 28   | ADI 1662  | MAURÍCIO CORRÊA     | N | 0.000038
 29   | HC 81409  | NELSON JOBIM        | S | 0.000035
 30   | RE 312141 | MOREIRA ALVES       | S | 0.000033
 31   | RE 311292 | MOREIRA ALVES       | N | 0.000033
 32   | RE 312934 | MOREIRA ALVES       | S | 0.000033
 33   | IF 2915   | MARCO AURÉLIO       | N | 0.000031
 34   | RE 204193 | CARLOS VELLOSO      | N | 0.000029
 35   | HC 81380  | MAURÍCIO CORRÊA     | N | 0.000029
 36   | RE 396266 | CARLOS VELLOSO      | N | 0.000028
